,id_album,album,id_song,song_name
0,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,1a3G9SNslcKsPAOuIikaxd,🪐
1,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,65OR4ywy8Cgs3FDHK82Idl,Higher Power
2,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,23BO6YozrAXUta1buxFZ80,Humankind
3,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,1danObd53GynoY83wRz3Ua,✨
4,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go
5,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,3oTYv0yShT4sjuPncoUXfK,❤️
6,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,5ophZLHA9mwSZhQSmboyDN,People of The Pride
7,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,2L2mM3rEO3arNIMQnb3dou,Biutyful
8,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,0RbekAlUrwR6ZWJdwB3V4y,🌎
9,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,46HNZY1i7O6jwTA7Slo2PI,My Universe
10,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,2wleRXcIPqltoDPLMH5WDa,♾
11,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,0jH7gF7KCk2Lom9gimaKms,Coloratura
12,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,6Tb7Zfo4PcSiS4TqQ4NnTh,Sunrise
13,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,1e8D1BCD2afT56Km7UahpB,Church
14,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,45PqOIkZ9PdCjsCJQYzx9G,Trouble In Town
15,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,1cXXhzPnbrXjNQYbLdUJdy,BrokEn
